timestamp,service,pod.id,cpu.num.cores,cpu.usage,cpu.usage.cores,cpu.usage.pct,cpu.usage.pct.container.requested,mem.current,mem.limit,mem.usage.pct,mem.working.set
82,1566385390,service2,exec2,16,1435296964,0.109,0.68,2.66,10453778432,19327352832,54.09,10453708800
83,1566385400,service2,exec2,16,733174856,0.064,0.4,1.56,10453868544,19327352832,54.09,10453798912
84,1566385420,service2,exec2,16,4904918932,0.253,1.58,6.18,10453889024,19327352832,54.09,10453819392
85,1566385430,service2,exec2,16,1440676254,0.087,0.54,2.12,10574348288,19327352832,54.71,10574282752
86,1566385450,service2,exec2,16,2714020689,0.195,1.22,4.76,10574409728,19327352832,54.71,10574344192
87,1566385460,service2,exec2,16,727188674,0.066,0.41,1.61,10647384064,19327352832,55.09,10647314432
88,1566385480,service2,exec2,16,2256623720,0.114,0.71,2.78,10647240704,19327352832,55.09,10647162880
89,1566385510,service2,exec2,16,2155348042,0.133,0.83,3.25,10647252992,19327352832,55.09,10647191552
90,1566385520,service2,exec2,16,2983250521,0.151,0.94,3.69,10647203840,19327352832,55.09,10647142400
91,1566385540,service2,exec2,16,1490680263,0.144,0.9,3.52,10647318528,19327352832,55.09,10647248896
92,1566385550,service2,exec2,16,2973650534,0.179,1.12,4.37,10647334912,19327352832,55.09,10647265280
93,1566385570,service2,exec2,16,726599896,0.056,0.35,1.37,10647920640,19327352832,55.09,10647859200
94,1566385580,service2,exec2,16,1397446096,0.089,0.56,2.17,10647904256,19327352832,55.09,10647842816
95,1566385600,service2,exec2,16,2470096278,0.195,1.22,4.76,10648002560,19327352832,55.09,10647941120
96,1566385610,service2,exec2,16,1428928366,0.075,0.47,1.83,10647318528,19327352832,55.09,10647257088
97,1566385630,service2,exec2,16,1473471562,0.131,0.82,3.2,10647252992,19327352832,55.09,10647191552
98,1566385640,service2,exec2,16,2747058655,0.211,1.32,5.15,10647257088,19327352832,55.09,10647195648
99,1566385660,service2,exec2,16,759220728,0.048,0.3,1.17,10720178176,19327352832,55.47,10720112640
100,1566385670,service2,exec2,16,1421908149,0.097,0.61,2.37,10720272384,19327352832,55.47,10720161792
101,1566385690,service2,exec2,16,1436743893,0.129,0.81,3.15,10720276480,19327352832,55.47,10720165888
102,1566385700,service2,exec2,16,2845014118,0.186,1.16,4.54,10721337344,19327352832,55.47,10721226752
103,1566385720,service2,exec2,16,1472428552,0.085,0.53,2.08,10723299328,19327352832,55.48,10723237888
104,1566385730,service2,exec2,16,744060525,0.048,0.3,1.17,10723299328,19327352832,55.48,10723237888
105,1566385750,service2,exec2,16,733003522,0.06,0.38,1.46,10723307520,19327352832,55.48,10723246080
106,1566385760,service2,exec2,16,6325833396,0.625,3.91,15.26,10723311616,19327352832,55.48,10723250176
107,1566385780,service2,exec2,16,2218123567,0.112,0.7,2.73,10798968832,19327352832,55.87,10798903296
108,1566385790,service2,exec2,16,2905915932,0.167,1.04,4.08,10798981120,19327352832,55.87,10798874624
109,1566385810,service2,exec2,16,739002712,0.059,0.37,1.44,10799120384,19327352832,55.87,10799058944
110,1566385820,service2,exec2,16,734119389,0.052,0.33,1.27,10799153152,19327352832,55.87,10799091712
111,1566385840,service2,exec2,16,1454559810,0.075,0.47,1.83,10799017984,19327352832,55.87,10798956544
112,1566385850,service2,exec2,16,2207938594,0.14,0.88,3.42,10799034368,19327352832,55.87,10798972928
113,1566385870,service2,exec2,16,1439459765,0.096,0.6,2.34,10802925568,19327352832,55.89,10802864128
114,1566385880,service2,exec2,16,1431608392,0.08,0.5,1.95,10802982912,19327352832,55.89,10802913280
115,1566385910,service2,exec2,16,3582224650,0.185,1.16,4.52,10802987008,19327352832,55.89,10802917376
116,1566385930,service2,exec2,16,2132031768,0.111,0.69,2.71,10803003392,19327352832,55.89,10802941952
117,1566385940,service2,exec2,16,2130730383,0.126,0.79,3.08,10803007488,19327352832,55.89,10802937856
118,1566385960,service2,exec2,16,1453692397,0.128,0.8,3.13,10803003392,19327352832,55.89,10802941952
119,1566385990,service2,exec2,16,1975423178,0.164,1.03,4,10803728384,19327352832,55.9,10803662848
120,1566386000,service2,exec2,16,3261938473,0.212,1.33,5.18,10875809792,19327352832,56.27,10875744256
121,1566386020,service2,exec2,16,14209004,0.001,0.01,0.02,10896867328,19327352832,56.38,10896801792
122,1566386030,service2,exec2,16,2104491261,0.127,0.79,3.1,10896740352,19327352832,56.38,10896674816
123,1566386050,service2,exec2,16,20378884,0.002,0.01,0.05,10883805184,19327352832,56.31,10883735552
124,1566386060,service2,exec2,16,28845625,0.001,0.01,0.02,10883805184,19327352832,56.31,10883735552
125,1566386090,service2,exec2,16,26013572,0.001,0.01,0.02,10883805184,19327352832,56.31,10883735552
126,1566386110,service2,exec2,16,29248830,0.002,0.01,0.05,10883805184,19327352832,56.31,10883735552
127,1566386120,service2,exec2,16,28397113,0.002,0.01,0.05,10883715072,19327352832,56.31,10883645440
128,1566386140,service2,exec2,16,20116106,0.001,0.01,0.02,10883715072,19327352832,56.31,10883645440
129,1566386150,service2,exec2,16,1836731756,0.144,0.9,3.52,10883715072,19327352832,56.31,10883645440
130,1566386170,service2,exec2,16,18630098,0.002,0.01,0.05,10882953216,19327352832,56.31,10882891776
131,1566386180,service2,exec2,16,2432218956,0.125,0.78,3.05,10882953216,19327352832,56.31,10882891776
132,1566386200,service2,exec2,16,4498615499,0.284,1.78,6.93,10964865024,19327352832,56.73,10963689472
133,1566386210,service2,exec2,16,1389520797,0.132,0.83,3.22,11027226624,19327352832,57.05,11027161088
134,1566386230,service2,exec2,16,2755712780,0.152,0.95,3.71,11027361792,19327352832,57.06,11027296256
