"timestamp","service","pod.id","cpu.num.cores","cpu.usage","cpu.usage.cores","cpu.usage.pct","cpu.usage.pct.container.requested","mem.current","mem.limit","mem.usage.pct","mem.working.set"
1565955720,"service1","exec3",4,95387049,0.006,0.15,0.15,13713408,5242880000,0.26,13590528
1565955730,"service1","exec3",4,596310551,0.048,1.2,1.17,22130688,5242880000,0.42,22007808
1565955780,"service1","exec3",4,669147524,0.03,0.75,0.73,14495744,5242880000,0.27,14372864
1565955790,"service1","exec3",4,8671664400,0.575,14.37,14.04,15761408,5242880000,0.3,15638528
1565955810,"service1","exec3",4,14374045688,1.106,27.65,27,148344832,5242880000,1.53,80457728
1565955840,"service1","exec3",4,2766209938,0.167,4.18,4.08,270487552,5242880000,3.01,157704192
1565955850,"service1","exec3",4,13074115613,0.826,20.65,20.17,989560832,5242880000,16.37,858013696
1565955870,"service1","exec3",4,15615332691,0.825,20.63,20.14,1009635328,5242880000,16.69,874864640
1565955880,"service1","exec3",4,13057207348,0.96,24,23.44,997842944,5242880000,16.38,858759168
1565955900,"service1","exec3",4,20972954797,1.07,26.75,26.12,998174720,5242880000,16.47,863551488
1565955910,"service1","exec3",4,20042755133,1.031,25.78,25.17,999034880,5242880000,16.58,869298176
1565955930,"service1","exec3",4,15403520357,1.073,26.83,26.2,998899712,5242880000,16.58,869163008
1565955940,"service1","exec3",4,14193432363,1.029,25.73,25.12,999088128,5242880000,16.58,869351424
1565955960,"service1","exec3",4,12685531279,1.029,25.73,25.12,998928384,5242880000,16.58,869191680
1565955970,"service1","exec3",4,19597889005,1.062,26.55,25.93,998834176,5242880000,16.58,869097472
1565956000,"service1","exec3",4,13992644381,1.027,25.67,25.07,999096320,5242880000,16.58,869380096
1565956020,"service1","exec3",4,12023790443,1.096,27.4,26.76,999096320,5242880000,16.58,869380096
1565956030,"service1","exec3",4,13145162440,1.023,25.58,24.98,999096320,5242880000,16.58,869380096
1565956050,"service1","exec3",4,17569333499,1.028,25.7,25.1,998981632,5242880000,16.58,869265408
1565956060,"service1","exec3",4,13549117111,1.082,27.05,26.42,998981632,5242880000,16.58,869265408
1565956080,"service1","exec3",4,10812437719,1.029,25.73,25.12,999469056,5242880000,16.59,869752832
1565956090,"service1","exec3",4,14350915914,1.028,25.7,25.1,999337984,5242880000,16.59,869621760
1565956110,"service1","exec3",4,14859025877,1.076,26.9,26.27,999337984,5242880000,16.59,869621760
1565956120,"service1","exec3",4,10823903915,1.027,25.67,25.07,999268352,5242880000,16.59,869552128
1565956140,"service1","exec3",4,18795652034,1.064,26.6,25.98,999161856,5242880000,16.58,869445632
1565956150,"service1","exec3",4,14197617510,1.027,25.67,25.07,999579648,5242880000,16.59,869863424
1565956170,"service1","exec3",4,13600902459,1.026,25.65,25.05,999579648,5242880000,16.59,869863424
1565956180,"service1","exec3",4,13234965614,1.085,27.13,26.49,999419904,5242880000,16.59,869703680
1565956200,"service1","exec3",4,10894438700,1.026,25.65,25.05,999899136,5242880000,16.6,870182912
1565956210,"service1","exec3",4,14366875989,1.08,27,26.37,999628800,5242880000,16.59,869912576
1565956230,"service1","exec3",4,12098215978,1.031,25.78,25.17,1000325120,5242880000,16.61,870608896
1565956240,"service1","exec3",4,14777800438,1.024,25.6,25,1000169472,5242880000,16.6,870453248
1565956260,"service1","exec3",4,17491740881,1.07,26.75,26.12,1000169472,5242880000,16.6,870453248
1565956270,"service1","exec3",4,17418491451,1.028,25.7,25.1,1001033728,5242880000,16.62,871317504
1565956290,"service1","exec3",4,17119056425,1.025,25.62,25.02,1000587264,5242880000,16.61,870871040
1565956320,"service1","exec3",4,13877036104,1.027,25.67,25.07,1000902656,5242880000,16.62,871186432
1565956350,"service1","exec3",4,20769447030,1.061,26.53,25.9,1000787968,5242880000,16.61,871071744
1565956360,"service1","exec3",4,19376497763,1.026,25.65,25.05,1000804352,5242880000,16.61,871088128
1565956380,"service1","exec3",4,15852511228,1.029,25.73,25.12,1000804352,5242880000,16.61,871088128
1565956390,"service1","exec3",4,13687274064,1.077,26.92,26.29,1000804352,5242880000,16.61,871088128
1565956410,"service1","exec3",4,18541336428,1.025,25.62,25.02,1000935424,5242880000,16.62,871219200
1565956420,"service1","exec3",4,20327973160,1.062,26.55,25.93,1000865792,5242880000,16.62,871149568
1565956440,"service1","exec3",4,13127037710,1.028,25.7,25.1,1000943616,5242880000,16.62,871227392
1565956450,"service1","exec3",4,16151498014,1.026,25.65,25.05,1000820736,5242880000,16.62,871104512
1565956470,"service1","exec3",4,14014480454,1.078,26.95,26.32,1000820736,5242880000,16.62,871104512
1565956480,"service1","exec3",4,12759600489,1.027,25.67,25.07,1000894464,5242880000,16.62,871178240
1565956500,"service1","exec3",4,11922840625,1.088,27.2,26.56,1000812544,5242880000,16.61,871096320
1565956510,"service1","exec3",4,13179963421,1.028,25.7,25.1,1001451520,5242880000,16.63,871735296
1565956530,"service1","exec3",4,3760489722,0.241,6.03,5.88,1001086976,5242880000,16.62,871370752
1565956540,"service1","exec3",4,1409350232,0.093,2.33,2.27,417099776,5242880000,4.74,248553472
1565956560,"service1","exec3",4,10203840,0.001,0.03,0.02,294375424,5242880000,4.7,246235136
1565956570,"service1","exec3",4,8592497,0.001,0.03,0.02,293879808,5242880000,4.69,245780480
1565956590,"service1","exec3",4,635176072,0.048,1.2,1.17,293879808,5242880000,4.69,245780480
1565956600,"service1","exec3",4,8083064,0.001,0.03,0.02,293941248,5242880000,4.69,245841920
1565956620,"service1","exec3",4,7551757,0.001,0.03,0.02,293822464,5242880000,4.69,245723136
1565956630,"service1","exec3",4,8314481,0.001,0.03,0.02,294293504,5242880000,4.7,246194176
1565956660,"service1","exec3",4,11655285,0.001,0.03,0.02,294170624,5242880000,4.69,246071296
1565983240,"service1","exec4",4,752584573,0.042,1.05,1.03,2314240,5242880000,0.04,2314240
1565983270,"service1","exec4",4,678862785,0.044,1.1,1.07,11296768,5242880000,0.21,11173888
1565983330,"service1","exec4",4,677763777,0.027,0.68,0.66,13221888,5242880000,0.25,13099008
1565983370,"service1","exec4",4,672986692,0.024,0.6,0.59,14315520,5242880000,0.27,14192640
1565983390,"service1","exec4",4,698096658,0.037,0.93,0.9,15028224,5242880000,0.28,14905344
1565983400,"service1","exec4",4,14562165316,0.968,24.2,23.63,15818752,5242880000,0.3,15695872
1565983420,"service1","exec4",4,18903748196,1.049,26.23,25.61,117182464,5242880000,1.31,68481024
1565983430,"service1","exec4",4,4140122000,0.238,5.95,5.81,222052352,5242880000,2.09,109719552
1565983450,"service1","exec4",4,379902715,0.025,0.63,0.61,955559936,5242880000,16.07,842612736
1565983460,"service1","exec4",4,917666169,0.072,1.8,1.76,1014779904,5242880000,16.77,878993408
1565983480,"service1","exec4",4,7476811576,0.488,12.2,11.91,1058816000,5242880000,17.5,917467136
1565983490,"service1","exec4",4,7806968688,0.473,11.83,11.55,1029754880,5242880000,17.15,898990080
1565983520,"service1","exec4",4,15908100137,0.828,20.7,20.21,1029754880,5242880000,17.17,899981312
1565983540,"service1","exec4",4,18238126121,1.063,26.58,25.95,1029844992,5242880000,17.17,900071424
1565983550,"service1","exec4",4,11767974169,0.986,24.65,24.07,1029861376,5242880000,17.17,900087808
1565983570,"service1","exec4",4,16696510514,1.187,29.68,28.98,1029836800,5242880000,17.17,900063232
1565983580,"service1","exec4",4,11814439931,1.14,28.5,27.83,1032523776,5242880000,17.22,902750208
1565983600,"service1","exec4",4,15986967140,1.182,29.55,28.86,1036996608,5242880000,17.3,907223040
1565983610,"service1","exec4",4,19176260666,1.132,28.3,27.64,1045913600,5242880000,17.47,916140032
1565983630,"service1","exec4",4,10622175765,1.024,25.6,25,1045913600,5242880000,17.47,916140032
1565983640,"service1","exec4",4,4287322971,0.39,9.75,9.52,1048403968,5242880000,17.52,918630400
1565983660,"service1","exec4",4,1684825721,0.104,2.6,2.54,1075113984,5242880000,17.54,919478272
1565983670,"service1","exec4",4,579375213,0.049,1.23,1.2,428429312,5242880000,4.96,259813376
1565983690,"service1","exec4",4,786048846,0.053,1.33,1.29,296767488,5242880000,4.74,248635392
1565983700,"service1","exec4",4,10652165,0.001,0.03,0.02,291676160,5242880000,4.65,243609600
1565983720,"service1","exec4",4,6818439,0.001,0.03,0.02,291909632,5242880000,4.65,243843072
1565983730,"service1","exec4",4,9894029,0.001,0.03,0.02,291459072,5242880000,4.64,243392512
1565983750,"service1","exec4",4,134357118,0.01,0.25,0.24,291545088,5242880000,4.64,243478528
